artist_id,artist_name
6kBjAFKyd0he7LiA5GQ3Gz,Aqua
5pKCCKE2ajJHZ9KAiaK11H,Rihanna
1RyvyyTE3xzB2ZywiAwp0i,Future
1xgA0hENxpykh3AxlMBjlT,Catch 22
4wO0kHiOwf8l9VMJJN9HmG,Shoffy
3mIj9lX2MWuHmhNCA7LSCW,The 1975
2cWZOOzeOm4WmBJRnD5R7I,Normani
4IVAbR2w4JJNJDDRFP3E83,6LACK
4AT7XlLBevgZIiKvZQ83ye,Trivecta
3bXhZFreBJF4QDUUiMmtZW,Reel Big Fish
1BPsbKiNgav1TY1ITIU8C5,Benji Lewis
5xUf6j4upBrXZPg6AI4MRK,Soundgarden
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
1u7kkVrr14iBvrpYnZILJR,Sex Pistols
5GIcOzVFTNnzArytjmTkW8,Bizzey
5yDkaiPTFbHGWCMXAEBt5Q,Kraantje Pappie
5adKMaYrGOMyOfnbiLPuHg,Jonna Fraser
0JsGs5vw0BLS9x3dT79REB,Ramiks
5uLkZ7FWMTBUg1corQqdkR,Lund
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd
04gDigrS5kc9YWfZHwBETP,Maroon 5
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
6If57j6e3TXXk0HiLcIZca,Sevyn Streeter
0kuEP1E9k3WBEwMKwEmp9u,Willa Ford
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC
3p3U04w2DaiBzuYMZnYr00,JC Chasez
4qwGe91Bz9K2T8jXTZ815W,Janet Jackson
30tUlKZ8oLo0BnN6n0GZKD,Nuages
6NHZiXIGQYwflEOM2zpr2Y,BABYTEETH
4G7wgmtgE59mNV8TmjIgyb,Rivka Rose
7xdkLv1gfMADsjofXfaTXe,Nsolo
4mAhA39Nr2uEIbQoC3yxOs,Oshi
30Ddlk9YPm030og6lClMou,Avonlea
7vjRpVXoecwKTEsrb9iscj,Jadu Heart
6QVa6WnLgjo0PHIiNdHLa7,aiwake
4lxfqrEsLX6N1N4OCSkILp,Phil Collins
6LEeAFiJF8OuPx747e1wxR,Blood Orange
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie
3MCjwjfIor5FkK3h639qkW,Rufus
6mQfAAqZGBzIfrmlZCeaYT,Chaka Khan
5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive
3O24hFMrqM3JJHDwavPz8Y,Phil Harding
3C6chBmZ9wzisBhoh8G2nK,Naked Eyes
2jzc5TC5TVFLXQlBNiIUzE,a-ha
5a2EaR3hamoenG9rDuVn8j,Prince
2wpWOzQE5TpA0dVnh5YD08,Bronski Beat
1sylmUjlKYsLA49YtkNHW3,Cursive
1rCIEwPp5OnXW0ornlSsRl,Metric
2oX42qP5ineK3hrhBECLmj,Andy Grammer
05fG473iIaoy82BF1aGhL8,Slipknot
1NvmP6svMv6qjhaCM35vRQ,Lully
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie
46SHBwWsqBkxI7EeeBEQG7,Kodak Black
0NKDgy9j66h3DLnN8qu1bB,Eurythmics
0q8J3Yj810t5cpAYEJ7gxt,Duck Sauce
6v6tycmzJDLrgOXTj7mbT9,Lontalius
2zAshenjqDlcL4pudfySBY,emawk
6vqMDhoigg5btfdPsPTVFt,Cub Sport
0TImkz4nPqjegtVSMZnMRq,TLC
5eAWCfyUhZtHHtBdNk56l1,System Of A Down
3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs
2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney
19dyJWLCu4CSuTgZN1l9Zn,Shawn Stockman
33QLeK0AvK6Cj5CQ0hp5sa,snny
13Kd75NSHSp9lB4CaqPMOV,Ta-ku
6MmQrV24zUeieNf027zkh3,Message To Bears
4dwdTW1Lfiq0cM8nBAqIIz,Of Monsters and Men
61YE3whKiuRr83j1yOm5M7,Augustana
3DFoVPonoAAt4EZ1FEI8ue,Sir Sly
